IPO name,Price,GMP,Listed,GMP Price,Diff,Diff pct,Profit,GMP predicted profit pc,Actual profit pct
KFin Technologies,366.00 ,0.00 ,267.00 ,366.00 ,(99.00),(37.08),(99.00),0.00 ,(27.05)
Shriram Properties,118.00 ,0.00 ,90.00 ,118.00 ,(28.00),(31.11),(28.00),0.00 ,(23.73)
Stove Kraft,385.00 ,65.00 ,298.00 ,450.00 ,(152.00),(51.01),(87.00),16.88 ,(22.60)
RateGain,425.00 ,35.00 ,360.00 ,460.00 ,(100.00),(27.78),(65.00),8.24 ,(15.29)
Kalyan Jewellers,87.00 ,0.00 ,74.00 ,87.00 ,(13.00),(17.57),(13.00),0.00 ,(14.94)
Nuvoco Vistas,570.00 ,0.00 ,485.00 ,570.00 ,(85.00),(17.53),(85.00),0.00 ,(14.91)
Udayshivakumar Infra,35.00 ,5.00 ,30.00 ,40.00 ,(10.00),(33.33),(5.00),14.29 ,(14.29)
Metro Brands,500.00 ,0.00 ,437.00 ,500.00 ,(63.00),(14.42),(63.00),0.00 ,(12.60)
Yatra Online,142.00 ,0.00 ,127.00 ,142.00 ,(15.00),(11.81),(15.00),0.00 ,(10.56)
Lodha Developers,486.00 ,0.00 ,436.00 ,486.00 ,(50.00),(11.47),(50.00),0.00 ,(10.29)
Paytm,2150.00 ,30.00 ,1950.00 ,2180.00 ,(230.00),(11.79),(200.00),1.40 ,(9.30)
Craftsman Automation,1490.00 ,32.00 ,1359.00 ,1522.00 ,(163.00),(11.99),(131.00),2.15 ,(8.79)
LIC IPO,949.00 ,12.00 ,872.00 ,961.00 ,(89.00),(10.21),(77.00),1.26 ,(8.11)
Inox Green Energy,65.00 ,0.00 ,60.00 ,65.00 ,(5.00),(8.33),(5.00),0.00 ,(7.69)
CarTrade,1618.00 ,150.00 ,1505.00 ,1768.00 ,(263.00),(17.48),(113.00),9.27 ,(6.98)
Landmark Cars,506.00 ,0.00 ,471.00 ,506.00 ,(35.00),(7.43),(35.00),0.00 ,(6.92)
Anupam Rasayan,555.00 ,70.00 ,520.00 ,625.00 ,(105.00),(20.19),(35.00),12.61 ,(6.31)
Star Health,900.00 ,-50.00,845.00 ,850.00 ,(5.00),(0.59),(55.00),(5.56),(6.11)
Ethos IPO,878.00 ,10.00 ,825.00 ,888.00 ,(63.00),(7.64),(53.00),1.14 ,(6.04)
Rainbow Hospital,542.00 ,10.00 ,510.00 ,552.00 ,(42.00),(8.24),(32.00),1.85 ,(5.90)
Aptus Value Housing,353.00 ,0.00 ,333.00 ,353.00 ,(20.00),(6.01),(20.00),0.00 ,(5.67)
IRM Energy,505.00 ,15.00 ,478.00 ,520.00 ,(42.00),(8.79),(27.00),2.97 ,(5.35)
Windlas Biotech,460.00 ,85.00 ,437.00 ,545.00 ,(108.00),(24.71),(23.00),18.48 ,(5.00)
Updater Services,300.00 ,0.00 ,285.00 ,300.00 ,(15.00),(5.26),(15.00),0.00 ,(5.00)
Suryoday Small Bank,305.00 ,0.00 ,293.00 ,305.00 ,(12.00),(4.10),(12.00),0.00 ,(3.93)
